store_number,recency,frequency,monetary_value
4438,289,156,7788.5199999999968
4439,1,1009,55098.30999999999
4443,1,687,129661.46999999999
4444,4,731,57130.94000000001
4446,2,1661,121806.17000000003
4448,1,1376,46828.280000000013
4449,2,1282,62109.720000000008
4450,1,1563,68045.299999999974
4452,4,2080,221492.50000000012
4453,10,495,39446.920000000013
4455,110,223,17408.049999999996
4456,4,1360,73685.74000000002
4457,4,776,78633.939999999959
4459,3,1322,63304.130000000026
4463,3,1721,133623.77000000002
4464,1,1085,119909.17000000004
4466,25,543,82688.95
4467,12,1258,52380.940000000024
4468,12,160,22832.22
4472,1,714,80219.680000000051
4473,22,420,72081.400000000038
4478,190,885,123516.84999999998
4480,26,380,55573.690000000024
4482,4,873,112327.85999999997
4487,3,746,110345.04
4489,4,680,92004.659999999974
4490,4,769,113210.25000000006
4491,23,520,86446.299999999988
4492,4,1460,152681.97999999998
4493,12,440,63191.789999999986
4495,4,674,101631.14000000001
4496,9,897,57395.869999999995
4497,4,237,33274.480000000018
4498,3,593,50272.130000000019
4499,10,461,38161.600000000006
4500,18,379,61666.48
4501,59,488,53162.58
4503,2,615,40263.030000000021
4504,4,510,63042.020000000019
4505,9,1863,76103.590000000011
4506,11,424,59535.95
4507,10,470,49971.079999999994
4508,3,310,46736.249999999978
4509,2,3184,351509.39999999997
4510,50,438,48322.73
4511,2,1152,101621.11000000004
4512,2,372,44643.62000000001
4513,64,728,79820.290000000008
4514,1,705,81468.550000000032
4515,8,270,27053.319999999996
4516,29,444,61307.62000000001
4517,9,354,65387.220000000016
4518,5,901,97858.50999999998
4519,9,585,99999.44
4520,9,446,48963.390000000014
4521,12,267,38269.609999999986
4522,3,1239,83484.020000000019
4523,11,340,52803.779999999992
4524,4,995,50781.309999999976
4527,1,319,26258.930000000008
4529,3,499,53173.890000000007
4530,4,572,63005.08
4531,15,393,63811.710000000014
4532,14,355,35941.04
4533,12,308,55779.10000000002
4535,12,548,77700.169999999984
4536,19,471,67993.929999999964
4537,1,601,66954.990000000034
4539,12,402,36300.87000000001
4540,4,483,52012.289999999994
4541,4,271,25069.03000000001
4542,1,392,59731.84000000004
4543,15,514,55040.150000000016
4544,4,470,54742.01
4546,4,214,31633.960000000006
4547,4,799,116263.00000000006
4548,13,299,37845.279999999992
4549,4,457,55300.62999999999
4551,22,603,68137.319999999992
4552,12,765,77255.789999999979
4553,12,400,50891.900000000016
4554,25,331,33723.57
4555,10,268,41113.290000000008
4556,10,327,43327.399999999994
